"state","BlueStatesPvi2023","BlueStatesGovernorParty2023","BlueStatesSenateParty2023","BlueStatesDemocratReps2023","BlueStatesRepublicanReps2023"
"Alabama",15,"Republican","Republican",1,6
"Alaska",8,"Republican","Republican",1,
"Arizona",2,"Democratic","Democratic",3,6
"Arkansas",16,"Republican","Republican",,4
"California",-13,"Democratic","Democratic",40,12
"Colorado",-4,"Democratic","Democratic",5,3
"Connecticut",-7,"Democratic","Democratic",5,
"Delaware",-7,"Democratic","Democratic",1,
"Florida",3,"Republican","Republican",8,20
"Georgia",3,"Republican","Democratic",5,9
"Hawaii",-14,"Democratic","Democratic",2,
"Idaho",18,"Republican","Republican",,2
"Illinois",-7,"Democratic","Democratic",14,3
"Indiana",11,"Republican","Republican",2,7
"Iowa",6,"Republican","Republican",,4
"Kansas",10,"Democratic","Republican",1,3
"Kentucky",16,"Democratic","Republican",1,5
"Louisiana",12,"Democratic","Republican",1,5
"Maine",-2,"Democratic","Republican",2,
"Maryland",-14,"Democratic","Democratic",7,1
"Massachusetts",-15,"Democratic","Democratic",9,
"Michigan",1,"Democratic","Democratic",7,6
"Minnesota",-1,"Democratic","Democratic",4,4
"Mississippi",11,"Republican","Republican",1,3
"Missouri",10,"Republican","Republican",2,6
"Montana",11,"Republican","Both",,2
"Nebraska",13,"Republican","Republican",,3
"Nevada",1,"Republican","Democratic",3,1
"New Hampshire",-1,"Republican","Democratic",2,
"New Jersey",-6,"Democratic","Democratic",9,3
"New Mexico",-3,"Democratic","Democratic",3,
"New York",-10,"Democratic","Democratic",15,11
"North Carolina",3,"Democratic","Republican",7,7
"North Dakota",20,"Republican","Republican",,1
"Ohio",6,"Republican","Both",5,10
"Oklahoma",20,"Republican","Republican",,5
"Oregon",-6,"Democratic","Democratic",4,2
"Pennsylvania",2,"Democratic","Democratic",9,8
"Rhode Island",-8,"Democratic","Democratic",2,
"South Carolina",8,"Republican","Republican",1,6
"South Dakota",16,"Republican","Republican",,1
"Tennessee",14,"Republican","Republican",1,8
"Texas",5,"Republican","Republican",13,25
"Utah",13,"Republican","Republican",,4
"Vermont",-16,"Republican","Democratic",1,
"Virginia",-3,"Republican","Democratic",6,5
"Washington",-8,"Democratic","Democratic",8,2
"West Virginia",22,"Republican","Both",,2
"Wisconsin",2,"Democratic","Both",2,6
"Wyoming",25,"Republican","Republican",,1